a	a:
abbadísin	a p a t i: s I n
abbast	a p a s t
adam	a: t a m
adams	a: t a m s
adda	a t a
addi	a t I
adolf	a: t O l v
adolfs	a: t O l s
adrenalínpenna	a: t r E n a l i n p_h E n a
af	a: v
afa	a: v a
afar	a: v a r
afarnir	a: v a t n I r
afbakar	a v p a k a r
afborgana	a v p O r k a n a
afborganir	a v p O r k a n I r
afborgunum	a v p O r k Y n Y m
afbragðs	a v p r a G D s
afbrigði	a v p r I G D I
afbrigðilegrar	a v p r I G D I l E G r a r
afbrigðilegt	a v p r I G D I l E x t
afbrigðum	a v p r I G D Y m
afbrýði	a v p r i D I
afbrýðin	a v p r i D I n
afbrýðisemi	a v p r i D I s E: m I
afbrýðisemin	a v p r i D I s E: m I n
afburða	a v p Y r D a
afdrepinu	a v t r E p I n Y
afdrepið	a v t r E p I D
afdrifarík	a v t r I v a r i: k
afdrifaríkar	a v t r I v a r i: k a r
afdrifum	a v t r I v Y m
afdráttarlaus	a v t r au h t a r l 9Y: s
afdráttarlaust	a v t r au h t a r l 9Y s t
affalls	a f a l s
afferma	a f E r m a
affermingu	a f E r m i N k Y
afföll	a f 9 t l_0
afföllin	a f 9 t l I n
afgana	a v k a n a
afganar	a v k a n a r
afgangateppi	a v k au N k a t_h E h p I
afganginn	a v k au J c I n
afganginum	a v k au J c I n Y m
afgangurinn	a v k au N k Y r I n
afganistan	a v k a n I s t a n
afganistans	a v k a n I s t a n s
afganska	a v k a n s k a
afganskra	a v k a n s k r a
afgerandi	a v c E r a n t I
afgirt	a v c I r_0 t
afglöp	a v k l 9 p
afgreiddar	a v k r ei t a r
afgreiddi	a v k r ei t I
afgreiðsluna	a v k r ei D s t l Y n a
afgreiðslunni	a v k r ei D s t l Y n I
afgreiðslustelpan	a v k r ei D s t l Y s t E l_0 p a n
afgönsku	a v k 9 n s k Y
afhenda	a: v h E n t a
afhending	a: v h E n t i N k
afhendingar	a: v h E n t i N k a r
afhendingu	a: v h E n t i N k Y
afhendir	a: v h E n t I r
afhent	a: v h E n_0 t
afhenta	a: v h E n_0 t a
afhentan	a: v h E n_0 t a n
afhentar	a: v h E n_0 t a r
afhenti	a: v h E n_0 t I
afhentir	a: v h E n_0 t I r
afhentu	a: v h E n_0 t Y
afhentum	a: v h E n_0 t Y m
afhentur	a: v h E n_0 t Y r
afhjúpar	a f C u p a r
afhjúpað	a f C u p a D
afhjúpaði	a f C u p a D I
afhjúpaður	a f C u p a D Y r
afhjúpun	a f C u p Y n
afhjúpuð	a f C u p Y D
afhomma	a: f h O m a
afhroð	a f r_0 O D
afhöggvinn	a: f h 9 k v I n
afi	a: v I
afkastar	a v k a s t a r
afklæddi	a v k l ai t I
afklæddist	a v k l ai t I s t
afklæðast	a v k l ai D a s t
afkoman	a v k O m a n
afkomenda	a v k O m E n t a
afkomendum	a v k O m E n t Y m
afkomendur	a v k O m E n t Y r
afkomuna	a v k O m Y n a
afkróuð	a v k r ou Y D
afkvæmi	a v k v ai m I
afkvæmum	a v k v ai m Y m
afkáralega	a v k au r a l E G a
afkáralegum	a v k au r a l E G Y m
afköstin	a v k 9 s t I n
afköstum	a v k 9 s t Y m
